1716984878.629055 client started (48681): version 3.3a, socket /run/user/1000/tmux-1000/default, protocol 8
1716984878.629081 on Linux 6.1.91 #1-NixOS SMP PREEMPT_DYNAMIC Fri May 17 09:56:25 UTC 2024
1716984878.629091 using libevent 2.1.12-stable (poll); utf8proc 2.9.0; ncurses 6.4
1716984878.630686 sending message 105 to peer 0x506700 (27 bytes)
1716984878.630691 sending message 105 to peer 0x506700 (12 bytes)
1716984878.630697 sending message 105 to peer 0x506700 (74 bytes)
1716984878.630702 sending message 105 to peer 0x506700 (261 bytes)
1716984878.630707 sending message 105 to peer 0x506700 (30 bytes)
1716984878.630713 sending message 105 to peer 0x506700 (46 bytes)
1716984878.630718 sending message 105 to peer 0x506700 (26 bytes)
1716984878.630723 sending message 105 to peer 0x506700 (54 bytes)
1716984878.630729 sending message 105 to peer 0x506700 (8 bytes)
1716984878.630734 sending message 105 to peer 0x506700 (18 bytes)
1716984878.630739 sending message 105 to peer 0x506700 (18 bytes)
1716984878.630745 sending message 105 to peer 0x506700 (11 bytes)
1716984878.630750 sending message 105 to peer 0x506700 (79 bytes)
1716984878.630755 sending message 105 to peer 0x506700 (12 bytes)
1716984878.630761 sending message 105 to peer 0x506700 (60 bytes)
1716984878.630766 sending message 105 to peer 0x506700 (30 bytes)
1716984878.630771 sending message 105 to peer 0x506700 (43 bytes)
1716984878.630777 sending message 105 to peer 0x506700 (22 bytes)
1716984878.630782 sending message 105 to peer 0x506700 (28 bytes)
1716984878.630787 sending message 105 to peer 0x506700 (10 bytes)
1716984878.630793 sending message 105 to peer 0x506700 (16 bytes)
1716984878.630798 sending message 105 to peer 0x506700 (23 bytes)
1716984878.630803 sending message 105 to peer 0x506700 (14 bytes)
1716984878.630809 sending message 105 to peer 0x506700 (304 bytes)
1716984878.630818 sending message 105 to peer 0x506700 (1705 bytes)
1716984878.630824 sending message 105 to peer 0x506700 (16 bytes)
1716984878.630830 sending message 105 to peer 0x506700 (79 bytes)
1716984878.630835 sending message 105 to peer 0x506700 (6169 bytes)
1716984878.630841 sending message 106 to peer 0x506700 (0 bytes)
1716984878.630893 sending message 200 to peer 0x506700 (4 bytes)
1716984878.630899 client loop enter
1716984878.632566 peer 0x506700 message 303
1716984878.632605 open write file 2 -
1716984878.632628 sending message 305 to peer 0x506700 (8 bytes)
1716984878.632650 write check file 2
1716984878.632868 peer 0x506700 message 304
1716984878.632890 write 58 to file 2
1716984878.632900 peer 0x506700 message 203
1716984878.632907 file 2 58 bytes left
1716984878.632926 write check file 2
1716984878.632934 client loop exit
